iter	MultiClass
0	1.043691984
1	1.001147291
2	0.9479095385
3	0.9044755915
4	0.8702169261
5	0.8344247696
6	0.8046829278
7	0.7758265067
8	0.7496961493
9	0.7230530892
10	0.7043970328
11	0.6823082778
12	0.6612268216
13	0.6457296551
14	0.6299442844
15	0.6150569211
16	0.5969418609
17	0.5822133624
18	0.5633953048
19	0.5509110258
20	0.5357881726
21	0.5236180879
22	0.5123076911
23	0.5002373667
24	0.4905342338
25	0.4807248353
26	0.4724355113
27	0.4648319591
28	0.4568222238
29	0.4476479527
30	0.4401216206
31	0.4310714578
32	0.4220053502
33	0.4143763397
34	0.4073824976
35	0.4002364565
36	0.3946463194
37	0.3896981444
38	0.3830145658
39	0.3767156183
40	0.372125025
41	0.3669170866
42	0.3621425164
43	0.3569777607
44	0.3507001195
45	0.3450704941
46	0.3403998757
47	0.3351156418
48	0.3302828768
49	0.3264755338
50	0.3228639436
51	0.3191134407
52	0.3157079792
53	0.3121438388
54	0.3081938195
55	0.3037900336
56	0.2995057271
57	0.2952005282
58	0.291610064
59	0.28741259
60	0.2837153025
61	0.2823313023
62	0.278943855
63	0.2765136214
64	0.2742554279
65	0.2706453274
66	0.2677972495
67	0.264290639
68	0.2610970437
69	0.2583734173
70	0.2552494407
71	0.2523929515
72	0.2503647544
73	0.247259256
74	0.2448875637
75	0.242499641
76	0.2397013335
77	0.2374239166
78	0.2346900919
79	0.2324064791
80	0.2295661713
81	0.2277786333
82	0.2259411085
83	0.2228769638
84	0.2211070895
85	0.2187761141
86	0.2170175466
87	0.2144139665
88	0.2120174206
89	0.2091646195
90	0.206624293
91	0.2047019022
92	0.2024389675
93	0.1999250714
94	0.1983786828
95	0.19581256
96	0.1934723516
97	0.1915958533
98	0.1902325761
99	0.1882915268
100	0.1869972941
101	0.1850308727
102	0.1833257791
103	0.1817410289
104	0.1795089702
105	0.1770581737
106	0.1756196517
107	0.1740456471
108	0.1724374975
109	0.1706542404
110	0.168564607
111	0.1673047552
112	0.1659104434
113	0.1644849616
114	0.1629321473
115	0.1613013397
116	0.1599583446
117	0.1586024409
118	0.1575134709
119	0.1556367173
120	0.1540468105
121	0.1528888752
122	0.1520244272
123	0.1508455505
124	0.1490440792
125	0.1482872821
126	0.1476922212
127	0.1459939647
128	0.1450937491
129	0.1440982557
130	0.1427935547
131	0.140807107
132	0.1389571507
133	0.1376708002
134	0.1361437558
135	0.1348916835
136	0.1335715452
137	0.1325846937
138	0.1312274589
139	0.1298499108
140	0.1288058698
141	0.1278970885
142	0.127141164
143	0.1258406133
144	0.1247447618
145	0.1239950337
146	0.1228230395
147	0.1219533429
148	0.1207235476
149	0.1195975461
150	0.1189226343
151	0.1177990668
152	0.1166853614
153	0.1162911979
154	0.1155695357
155	0.114527709
156	0.1137972213
157	0.113357049
158	0.1128356291
159	0.1120566462
160	0.1112160949
161	0.1103184172
162	0.1091007081
163	0.1082796666
164	0.1073516968
165	0.106659173
166	0.1059137509
167	0.1052617796
168	0.1046042305
169	0.1038774012
170	0.1031964703
171	0.1021596275
172	0.1014038374
173	0.1005398451
174	0.1000251707
175	0.09963631648
176	0.09905340503
177	0.09824884366
178	0.09748657066
179	0.09688633808
180	0.0962956815
181	0.09571292323
182	0.09514766701
183	0.09420973584
184	0.09375279583
185	0.09332275841
186	0.09261472036
187	0.09173306637
188	0.09127987061
189	0.09102927408
190	0.09071846911
191	0.0902049612
192	0.08920241997
193	0.08859484327
194	0.08802476408
195	0.08729788778
196	0.08669971431
197	0.08648215704
198	0.08594366767
199	0.0853745314
200	0.08455895654
201	0.08405670207
202	0.08351770801
203	0.08319705737
204	0.0828434099
205	0.08231187033
206	0.08178527265
207	0.08139901052
208	0.08095851119
209	0.08037357107
210	0.0801028318
211	0.07968952073
212	0.07917608545
213	0.07873770014
214	0.07820516435
215	0.07770610922
216	0.07757852593
217	0.07724613393
218	0.07678699131
219	0.07641211794
220	0.07594878764
221	0.07553143343
222	0.07540239508
223	0.07507937868
224	0.07444713765
225	0.07399468959
226	0.07379585053
227	0.07328197027
228	0.0729208626
229	0.07262058083
230	0.07242948543
231	0.07200043534
232	0.07161107324
233	0.07112057374
234	0.07063753653
235	0.07006284014
236	0.06978095666
237	0.06944453663
238	0.06919766865
239	0.06879603819
240	0.06846175939
241	0.0681867394
242	0.06789269078
243	0.06773855451
244	0.06738184105
245	0.06702076354
246	0.06681373572
247	0.06669500863
248	0.06645262934
249	0.06609518431
250	0.06576457322
251	0.06544081311
252	0.06520715347
253	0.06493258907
254	0.06478073236
255	0.06463492226
256	0.06438031138
257	0.06405821179
258	0.06373614106
259	0.06336385597
260	0.06313472004
261	0.062788068
262	0.06238117086
263	0.06194562374
264	0.06172999555
265	0.06148914197
266	0.06119800899
267	0.06094703497
268	0.06055079194
269	0.06020530624
270	0.05984732526
271	0.05964719015
272	0.05924817274
273	0.05908766669
274	0.05891759
275	0.05861037375
276	0.05841304292
277	0.05818219349
278	0.05803747771
279	0.05766962936
280	0.05732718173
281	0.05708428125
282	0.05671050066
283	0.05649636181
284	0.05626990156
285	0.0558940432
286	0.05557792128
287	0.05532520115
288	0.05504643295
289	0.05482693788
290	0.05458166335
291	0.05439274152
292	0.05414703987
293	0.05389105795
294	0.05358571611
295	0.05335597666
296	0.05315452685
297	0.05280183641
298	0.05257041416
299	0.05226728223
300	0.05197872185
301	0.05171017013
302	0.05153360113
303	0.05127240246
304	0.0510727324
305	0.05084907329
306	0.05058645751
307	0.05041247974
308	0.05023169753
309	0.0500531422
310	0.04978911166
311	0.04962722255
312	0.04939365327
313	0.04919792961
314	0.04898702868
315	0.04882040372
316	0.04864734951
317	0.04843504689
318	0.0483079827
319	0.04815659053
320	0.0479848492
321	0.04775293074
322	0.04755544681
323	0.04734863958
324	0.04723153276
325	0.04708505912
326	0.04690686257
327	0.04675829938
328	0.04651256516
329	0.0462783173
330	0.04600097859
331	0.04588876237
332	0.045735617
333	0.04552851069
334	0.04527832369
335	0.04517240875
336	0.04503946724
337	0.04493123526
338	0.04477700003
339	0.04462198723
340	0.04441245141
341	0.04419488069
342	0.04401864287
343	0.04385412694
344	0.04370735707
345	0.04355436373
346	0.04332528995
347	0.04311374979
348	0.04296058267
349	0.04285845477
350	0.04259080389
351	0.04242758641
352	0.04222704441
353	0.04205344568
354	0.04191701546
355	0.04174501933
356	0.04159641713
357	0.04142227809
358	0.04129097061
359	0.04120385158
360	0.0410535157
361	0.04088823513
362	0.04073051692
363	0.04063406353
364	0.04049019132
365	0.04036192284
366	0.04023733248
367	0.04008116432
368	0.0399227074
369	0.03981592555
370	0.03970583571
371	0.03940863272
372	0.03928339683
373	0.03919060169
374	0.03903375439
375	0.038960366
376	0.03884122263
377	0.03871385882
378	0.03865477919
379	0.03850847405
380	0.03832767412
381	0.03823023615
382	0.03812558519
383	0.03799690611
384	0.03784126299
385	0.03775437823
386	0.03769426798
387	0.03757620861
388	0.03742283953
389	0.03736722768
390	0.03729901821
391	0.0371610822
392	0.03707677506
393	0.03695017035
394	0.03684028481
395	0.03671900673
396	0.03656529459
397	0.0364786531
398	0.03634935736
399	0.03623968624
400	0.03614215886
401	0.0360066272
402	0.03584203988
403	0.03569222236
404	0.03558600375
405	0.03547798678
406	0.03537949908
407	0.03531096766
408	0.03517643636
409	0.03507188272
410	0.03494402181
411	0.03483181256
412	0.03471804848
413	0.03456879158
414	0.03437559789
415	0.03426668884
416	0.03417130712
417	0.03396115744
418	0.03388247742
419	0.03377757275
420	0.0336201989
421	0.03355882631
422	0.03345700406
423	0.03335799647
424	0.03325950003
425	0.03323670588
426	0.03313610827
427	0.0330629926
428	0.03295804978
429	0.03287246912
430	0.03275165456
431	0.03267470897
432	0.03257435985
433	0.03245477587
434	0.03233721272
435	0.03225700277
436	0.0322087794
437	0.03213208414
438	0.03201283353
439	0.03191209557
440	0.03183224716
441	0.03173729993
442	0.03164473375
443	0.03156226443
444	0.03144226929
445	0.03132199792
446	0.03123167111
447	0.03114082236
448	0.03103930418
449	0.03097029783
450	0.03091578191
451	0.03081700508
452	0.03070340404
453	0.03065631119
454	0.03053233907
455	0.03041541632
456	0.03031761219
457	0.0302247621
458	0.03013827248
459	0.03005467006
460	0.02999777628
461	0.02989672121
462	0.02980752252
463	0.02970433403
464	0.02961859233
465	0.02954008068
466	0.02945957223
467	0.02942158582
468	0.02933532673
469	0.02924799513
470	0.0291426174
471	0.02905821355
472	0.02896319881
473	0.0288660616
474	0.02877319655
475	0.0287150804
476	0.02860948067
477	0.02851220124
478	0.02843430027
479	0.02834579286
480	0.02828432207
481	0.02820240276
482	0.02816563045
483	0.02807024145
484	0.02799571523
485	0.0279160363
486	0.02781076912
487	0.02772473316
488	0.02770701779
489	0.02764333571
490	0.02759786652
491	0.02754297986
492	0.02747580794
493	0.02738019168
494	0.02730669809
495	0.02729438114
496	0.02721673377
497	0.02718406679
498	0.02710825098
499	0.02704775464
500	0.02697194625
501	0.02687637134
502	0.02679225999
503	0.02674326755
504	0.02663034083
505	0.02657607296
506	0.02650762723
507	0.02641419945
508	0.02636837441
509	0.02633611419
510	0.02630424951
511	0.02625157513
512	0.02617564642
513	0.02610947103
514	0.02604684781
515	0.02598856641
516	0.02590567125
517	0.02583113802
518	0.02578691535
519	0.0257176825
520	0.02570567783
521	0.02562124286
522	0.0255558069
523	0.02548598847
524	0.02540729952
525	0.02530938066
526	0.02528031243
527	0.02520469101
528	0.02515257085
529	0.02511084791
530	0.02506496853
531	0.02501922544
532	0.02495269364
533	0.02492760211
534	0.02485087292
535	0.02478006726
536	0.02473302054
537	0.02468471638
538	0.02461833874
539	0.02456491438
540	0.02452301757
541	0.02447602291
542	0.02442604143
543	0.02435449042
544	0.02427493068
545	0.02422499751
546	0.02415555615
547	0.0240848258
548	0.02404077849
549	0.02399458688
550	0.02390114961
551	0.02383985593
552	0.02376232973
553	0.02371527561
554	0.02366062678
555	0.02362597473
556	0.02353542257
557	0.0234840328
558	0.02343377173
559	0.02339219843
560	0.02334094663
561	0.02332025813
562	0.02326838158
563	0.02322449029
564	0.02315840483
565	0.02308300718
566	0.02302810854
567	0.02300380422
568	0.02294724062
569	0.0228880734
570	0.02285189244
571	0.02277648607
572	0.02273902199
573	0.02267867702
574	0.02263530459
575	0.0225906189
576	0.02254552997
577	0.02248301058
578	0.02240906711
579	0.02237823752
580	0.02232051099
581	0.02228210014
582	0.02225502753
583	0.02221273919
584	0.02218507369
